boards,value
001210020,0.426594304
001210021,0.5
001210022,0.7416402616320001
001210201,0.5
001210202,0.5
001210212,0.10908680830628381
001210220,0.5
001210221,0.19771949056
001211002,0.5
001211020,0.5
001211022,0.584
001211200,0.5
001211202,0.9980032075206017
001211212,0.5
001211220,0.384
001212001,0.5
001212002,0.4
001212010,0.5
001212012,0.14877155320368549
001212020,0.5
001212021,0.256
001212200,0.78332176744448
001212201,0.4791013501539524
001212210,0.4694162246008833
001212211,0.5
001212212,0.32
001212221,0.6
001220001,0.4
001220011,0.5
001220012,0.5
001220021,0.409728
001220101,0.5
001220102,0.5
001220112,0.9709759854831883
001220120,0.69211392
001220121,0.5648
001220201,0.5
001220211,0.5803136
001221002,0.5
001221010,0.5
001221012,0.4001547425049107
001221020,0.5
001221102,0.40549755813888
001221112,0.5
001221120,0.4512
001221122,0.5
001221200,0.5
001221210,0.432768
001221212,0.5
002000201,0.5
002000210,0.5
002000211,0.6799999999999999
002001210,0.5
002001211,0.5
002001212,0.5
002001221,0.5
002010200,0.5
002010201,0.4
002010210,0.2838976820307558
002010211,0.5
002010212,0.4
002010221,0.4128
002011210,0.5
002011212,0.15603419385717016
002011220,0.4
002011221,0.3107184372088832
002100002,0.5
002100010,0.5
002100012,0.5
002100020,0.5
002100021,0.5
002100102,0.4783781630926975
002100112,0.5
002100120,0.498461808049676
002100121,0.5
002100122,0.4
002100201,0.9585969116430105
002100210,0.5
002100211,0.5
002100212,0.5
002100221,0.4
002101002,0.5969536
002101012,0.5
002101020,0.41600000000000004
002101021,0.5
002101022,0.5
002101102,0.5
002101120,0.5
002101122,0.36096
002101200,0.48495513599999995
002101201,0.5
002101202,0.5
002101210,0.5
002101212,0.384
002101220,0.827968
002101221,0.4
002102010,0.7637003654804642
002102011,0.5
002102021,0.5
002102101,0.5
002102110,0.5
002102120,0.4353016365056
002102121,0.3197329598509482
002102201,0.4928
002102210,0.52
002102211,0.7159251842318853
002110002,0.49530568704
002110012,0.5
002110020,0.40491520000000003
002110021,0.5
002110022,0.46399999999999997
002110102,0.5
002110120,0.5
002110122,0.45599999999999996
002110201,0.5
002110202,0.5
002110210,0.5
002110212,0.1677690102692247
